PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,,,,,,,,,,,,,Maximum Inhibition observed across all concentrations,Concentration at which Maximum Inhibition was observed.
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,MICROMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,100,50,25,12.5,6.25,3.13,1.56,0.78,0.39,0.2,,
1,842133,644388,CN1C(=CN=C1NCC2=C(C=CC(=C2)Cl)O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,Active,72,,,,23.36,,21.14,,920.56,21.91,3.97,99.55,99.77,97.54,-1.37,4.05,-9.37,0.9,2.78,1.19,-3.11,99.77,50
2,842180,644436,CC1=CC=CC=C1C2=NC3=C(O2)C=CC(=C3)N,Inactive,0,,,,,,,,,,,-20.03,-1.47,0.61,-5.72,-3.76,-8.52,-14.13,-8.3,-4.01,-6.69,0.61,25
3,842310,135450603,CC(C)(C)C1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCCN(C4)C(=O)CC5=CC=CS5)N=N2,Active,66,,,,46.64,,35.96,,7.1,8.46,11.28,99.76,94.18,4.45,-5.43,-2.92,-0.01,-1.57,-7.68,-6.51,-29.59,99.76,100
4,842501,644772,CC1=NON=C1NC(=O)CSC2=NN=C(C=C2)C3=CC=CC=C3,Active,64,,,,58.94,,41.2,,4.61,6.14,8.94,91.59,77.02,3.59,1.8,6.94,-9.04,-0.75,-20.62,-3.99,0.28,91.59,100
5,842785,645059,CN(C)C1=CC=C(C=C1)NC(=O)CN2C3CCCC2CC(C3)NC(=O)C4=CC(=CC=C4)OC,Active,72,,,,24.4,,21.8,,413.07,19.56,3.52,99.69,98.77,93.56,-1.7,-6.37,-3.44,-0.01,-6.27,1.32,-1.05,99.69,100
6,843005,767427,CNC1=CC=CC=CC1=S,Inactive,0,,,,,,,,,,,-4.44,-1.86,-3.8,-6.4,-1.74,-1.79,-7.12,-6.5,-0.12,-4.49,-0.12,0.39
7,843584,645886,CCC1=C2C(=CC=C1)C(=O)C(=CN2)C(=O)N3CCOCC3,Active,74,,,,22.87,,15.35,,0.59,5.52,3.37,99.82,99.69,94.1,24.04,4.79,-4.77,-2.95,-2.04,-6.08,0.94,99.82,100
8,844237,646549,C1C(C(=O)C2=CC=CC=C21)SC3=NN=C(O3)C4=CC=NC=C4,Active,41,,,>,100,>,100,,30.11,1.59,10.88,46.53,,18.53,-8.06,-1.74,-18.32,-1.28,-6.97,-7.01,-12.39,46.53,100
9,844552,646879,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O,Active,55,,,,95.03,,63.84,,4.13,5.52,5.64,92.2,20.64,-0.08,-4.24,2.19,-13.06,-5.89,-3.26,1.24,-3.68,92.2,100
10,844714,647043,CC(C)(C)N1C(=NN=N1)C(C2=CC3=CC(=C(C=C3NC2=O)OC)OC)N4CCC5=CC=CC=C54,Active,41,,,>,100,>,100,,43.41,1.79,5.33,31.06,7.81,5.05,8.34,-0.72,4.51,-8.71,-1.02,-0.53,-7.85,31.06,100
11,844802,647134,CC1=CC2=C(C=C1C)N=C(N2)C3CCN(CC3)CC4COC5=CC=CC=C5O4,Active,73,,,,28.75,,17.8,,1.01,4.59,5.17,99.97,99.16,82.53,16.58,0.58,-6.78,-7.52,-5.26,-6.73,-6.14,99.97,100
