row ID,SMILES,cluster
47197941,CC(=C)C1CCC(=CC1)CN2CCN(CC2)CC3=CC=CC=C3,13.0
26669340,CN1C(=C(C=N1)Cl)C(=O)N/N=C/C2=CC=C(C=C2)OCC(=O)OCCSC,18.0
16953603,CC1=CC=C(O1)C2=CC(=CC=C2)NC(=O)C3C4CC(C3C(=O)O)C=C4,21.0
22404549,COC1=CC=C(C=C1)C2=C(SC(=N2)NC3=CC=C(C=C3)Br)CCC(=O)OC,24.0
16953644,CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NC2=NCCS2,25.0
85271841,C=CCNC1=C(N=C(O1)C2=CC=C(C=C2)C3=CC=CC=C3)C#N,26.0
26659292,C1CCN(CC1)CCSC2=NC3=C(C4=CC=CC=C4N3CC5=CC=CC=C5)N=N2,28.0
26728477,CC(C)CNC(=S)NC(=O)C1=CSC(=C1)[N+](=O)[O-],33.0
22403356,CC1(NC(=S)N(N1)C2=CC=C(C=C2)Cl)CCC3=CC=CC=C3,36.0
85271542,CCCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NNC(=O)C3=CC(=C(C=C3)C)C,38.0
26661822,CC1=CC2=C(C=C1C)/C(=N/NC(=O)C3=CC=CC=N3)/CCC2,40.0
24789455,CC1=C(C=C(C=C1)OC(=O)CCN2C(=O)C3=CC=CC=C3C2=O)C,41.0
26669176,CC1=CC=C(C=C1)C(=O)C2=C(SC(=C2)C)NC(=O)CN3CCN(CC3)C(=O)C4=CC=CO4,45.0
4262961,COC1=CC=C(C=C1)C2=CC(=CC(=C2)O)O,58.0
85270260,CC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=C(C=C2)OCC(=O)OCC3=CC=C(C=C3)C#N,59.0
49733889,CC1=C(C=C(C=C1)Cl)NC(=O)CN2CCN(CC2)S(=O)(=O)N3CCOCC3,62.0
22408204,CCCCNC(=S)NC1=CC2=C(C=C1)C=NN2,68.0
49641348,CCCC1=CC(=O)N2C(=N1)C(=C(N2)C)C3=CC=C(C=C3)Cl,80.0
