PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,CC50 Modifier,CC50,CC50 Std Dev Modifier,CC50 Std Dev,CC50 Hill Slope Modifier,CC50 Hill Slope,CC50 Normalized Chi2,% Cell Viability @ 40 uM,% Cell Viability @ 20 uM,% Cell Viability @ 10 uM,% Cell Viability @ 5 uM,% Cell Viability @ 2.5 uM,% Cell Viability @ 1.25 uM,% Cell Viability @ 0.625 uM,% Cell Viability @ 0.313 uM,% Cell Viability @ 0.156 uM,% Cell Viability @ 0.078 uM,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Cytotoxic concentration,,,,,,,,,,,,,,,,Data has been verified.
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,40,20,10,5,2.5,1.25,0.625,0.313,0.156,0.078,
1,842133,644388,Active,41,,,>,40,,3.15,,-1.44,2.68,50.77,76.67,90.01,94.51,92.19,97.37,100.2,100.69,98.38,97.95,verified
2,842180,644436,Inactive,0,,,,,,,,,,89.9,92.75,99.48,94.55,95.6,96.67,105.58,101.3,103.43,100.91,verified
3,842310,135450603,Active,41,,,>,40,,6.56,,-1.34,4.12,53.72,80.69,87.12,93.83,94.21,102.15,98.91,95.3,97.26,92.73,verified
4,842501,644772,Inactive,0,,,,,,,,,,90.17,87.94,86.72,92.27,95.41,90.25,93.94,92.15,90.02,92.7,verified
5,842785,645059,Inactive,0,,,,,,,,,,82.42,95.78,101.4,98.95,101.31,102.49,97.35,95.6,102.35,97.83,verified
