"row ID","SMILES","Mtb Activity","IC90 Modifier","IC90","Vero Activity","IC50 Modifier","IC50","Aromatic Atoms Count","Bond Polarizabilities","VABC Volume Descriptor","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Rotatable Bonds Count","Topological Polar Surface Area","Molecular Weight","XLogP","Formal Charge","SP3 Character"
"842133","CN1C(=CN=C1NCC2=C(C=CC(=C2)Cl)O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O","Active",,23.36,"Active",">",40.0,17,30.07614,367.8413554068351,6,4,12,133.91,433.1040630400004,3.51,0,0.06
"842180","CC1=CC=CC=C1C2=NC3=C(O2)C=CC(=C3)N","Inactive",,,"Inactive",,,15,15.694483999999996,193.25940357182822,2,1,3,52.05,224.094963004,2.7800000000000002,0,0.034482758620689655
"842310","CC(C)(C)C1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCCN(C4)C(=O)CC5=CC=CS5)N=N2","Active",,46.64,"Active",">",40.0,20,42.93220999999999,439.4752171690583,5,1,9,125.01,490.21509520000086,3.7660000000000013,0,0.16923076923076924
"842501","CC1=NON=C1NC(=O)CSC2=NN=C(C=C2)C3=CC=CC=C3","Active",,58.94,"Inactive",,,17,21.345690999999995,265.5720021787563,4,1,6,119.10000000000001,327.07899565600036,2.7610000000000006,0,0.05555555555555555
"842785","CN(C)C1=CC=C(C=C1)NC(=O)CN2C3CCCC2CC(C3)NC(=O)C4=CC(=CC=C4)OC","Active",,24.4,"Inactive",,,12,46.281037999999995,436.29227549808616,6,2,10,73.91000000000001,450.2630909480009,3.6230000000000007,0,0.1791044776119403
"843005","CNC1=CC=CC=CC1=S","Inactive",,,"Inactive",,,7,11.638862999999999,153.5278264695002,1,1,2,44.120000000000005,151.045570288,1.816,0,0.05263157894736842
"843584","CCC1=C2C(=CC=C1)C(=O)C(=CN2)C(=O)N3CCOCC3","Active",,22.87,"Inactive",,,10,26.149725999999994,269.86828492548403,3,1,3,62.400000000000006,286.13174243600054,2.988999999999999,0,0.15384615384615385
"844237","C1C(C(=O)C2=CC=CC=C21)SC3=NN=C(O3)C4=CC=NC=C4","Active",">",100.0,"Inactive",,,17,19.819276999999996,248.51800768748953,4,0,3,94.18,309.05719759200036,3.204,0,0.06060606060606061
"844552","CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O","Active",,95.03,"Active",">",40.0,21,28.336139999999997,341.49165180231296,2,2,9,88.08000000000001,388.14230712000045,4.250000000000001,0,0.061224489795918366
"844714","CC(C)(C)N1C(=NN=N1)C(C2=CC3=CC(=C(C=C3NC2=O)OC)OC)N4CCC5=CC=CC=C54","Active",">",100.0,"Inactive",,,21,40.01979599999999,412.4604351861527,4,1,11,98.16000000000001,460.22228875600075,4.690999999999999,0,0.14516129032258066
"844802","CC1=CC2=C(C=C1C)N=C(N2)C3CCN(CC3)CC4COC5=CC=CC=C5O4","Active",,28.75,"Active",,30.915,15,37.30858899999999,343.99733471175784,2,1,5,50.38000000000001,377.2103271040007,3.687000000000001,0,0.18181818181818182
"845123","CC1=CC(=O)NP(=O)(N1)OC2=CC3=CC=CC=C3C=C2","Inactive",,,"Inactive",,,10,26.843690999999993,241.56711038095042,4,2,3,77.24000000000001,288.0663789060004,2.406,0,0.030303030303030304
