PUBCHEM_SID,SMILES,Mtb Activity,IC90 Modifier,IC90,Vero Activity,IC50 Modifier,IC50
842133,CN1C(=CN=C1NCC2=C(C=CC(=C2)Cl)O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,Active,,23.36,Active,>,40
842180,CC1=CC=CC=C1C2=NC3=C(O2)C=CC(=C3)N,Inactive,,,Inactive,,
842310,CC(C)(C)C1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCCN(C4)C(=O)CC5=CC=CS5)N=N2,Active,,46.64,Active,>,40
842501,CC1=NON=C1NC(=O)CSC2=NN=C(C=C2)C3=CC=CC=C3,Active,,58.94,Inactive,,
842785,CN(C)C1=CC=C(C=C1)NC(=O)CN2C3CCCC2CC(C3)NC(=O)C4=CC(=CC=C4)OC,Active,,24.4,Inactive,,
843005,CNC1=CC=CC=CC1=S,Inactive,,,Inactive,,
843584,CCC1=C2C(=CC=C1)C(=O)C(=CN2)C(=O)N3CCOCC3,Active,,22.87,Inactive,,
844237,C1C(C(=O)C2=CC=CC=C21)SC3=NN=C(O3)C4=CC=NC=C4,Active,>,100,Inactive,,
844552,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O,Active,,95.03,Active,>,40
844714,CC(C)(C)N1C(=NN=N1)C(C2=CC3=CC(=C(C=C3NC2=O)OC)OC)N4CCC5=CC=CC=C54,Active,>,100,Inactive,,
844802,CC1=CC2=C(C=C1C)N=C(N2)C3CCN(CC3)CC4COC5=CC=CC=C5O4,Active,,28.75,Active,,30.915
845123,CC1=CC(=O)NP(=O)(N1)OC2=CC3=CC=CC=C3C=C2,Inactive,,,Inactive,,
845327,CC1=CC2=C(C=C1)N(N=N2)C3CCN(CC3)CC(=O)N4CCN(CC4)C5=CC=C(C=C5)F,Active,,54.67,Inactive,,
846009,CC1=CC=C(C=C1)C(C2=NN=NN2CC3=CC=CS3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6,Active,,38.03,Active,>,40
846163,CCCCOC(=O)CSC1=NN=C(O1)C2=C(C=C(C=C2)Cl)Cl,Active,,7.21,Inactive,,
846289,CC1=C2C=C(C(=NC2=C(C=C1)C)N3CCCC3)C#N,Inactive,,,Inactive,,
846296,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC=C(O3)C#CC4=CC=CC=C4,Inactive,,,Inactive,,
846412,COC1=CC=CC=C1N2CCN(CC2)C3=NN=C(C=C3)C4=CC=CC=C4,Inactive,,,Active,,13.671
846490,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl,Active,,61.56,Active,>,40
846746,CCC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCCN3CCOCC3)C(=O)NC4=CC(=CC=C4)Cl,Active,,40.53,Active,,15.011
847195,CC1CCCCC1NC(=O)C2=CC3=C(C=C2)N(C(=O)N3)C4CCCC4,Active,,14.14,Inactive,,
847353,CCCOC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=CC=CC=N3,Active,>,100,Inactive,,
848077,C1CN(CCC1N2C3=C(C=C(C=C3)C(F)(F)F)N=N2)CC(=O)NCC4=CC=CS4,Active,,47.94,Active,>,40
848268,COC1=CC=CC(=C1)C2=CC(=NO2)C(=O)OC,Active,>,100,Inactive,,
848690,CCOC(=O)C1CCN(CC1)C2=C(C=C3C=CC(=CC3=N2)OC)C#N,Active,>,100,Inactive,,
849028,C1CCC(CC1)NC(=O)COC(=O)C2=C(C(=NS2)C(=O)NC3CCCCC3)N,Active,,3.4,Inactive,,
849093,C1=CC=C(C=C1)/C=C(/C=N/N2C(=NN=N2)N)\Br,Active,,10.93,Active,,6.311
849274,C1CCC(CC1)OC(=O)CSC2=NN=NN2C3=CC4=C(C=C3)OCCO4,Active,,25.66,Inactive,,
849533,CCOC(=O)CN1C(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3,Active,,29.41,Inactive,,
849650,CCCCOC1=CC=C(C=C1)C2=NN(N=N2)C(C)C(=O)OCC,Active,,8.73,Inactive,,
850734,C1CCC(CC1)N2C(=NN=N2)SCC(=O)NC3=NC4=C(S3)CCCC4,Active,,53.12,Active,>,40
850954,CC1=CC2=C(C=C1)N3CCN=C4C3=C2CCC4.Cl,Active,,16.01,Inactive,,
851013,CCC1=NN=C(S1)NC(=O)CN2CCN(CC2)C3=NC(=CS3)C4=CC=CC=C4,Active,,92.57,Inactive,,
851019,CN1C(=NN=C1SCC(=O)OC2CCCCC2)CNC3=NC(=CS3)C4=CC=CC=C4,Active,,27.26,Inactive,,
851093,C1=CSC(=C1)C2=NC3=C(O2)C=CC(=C3)N,Inactive,,,Inactive,,
851190,C1CN(CCC1CC2=CC=CC=C2)C(=O)CN3CCN(CC3)C4=CC=C(C=C4)F.Cl,Inactive,,,Inactive,,
851193,C1=CC=C2C(=C1)C=CN2CC(CNC3=CC=CC=C3O)O.C(=O)(C(=O)O)O,Active,,12.25,Active,>,40
851539,CCOC1=CC=C(C=C1)N2CC(=O)NC3=CC=CC=C3NCC2=O,Active,,83.12,Inactive,,
