row ID,SMILES,outcome,IC90 Modifier,IC90,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,SP3 Character,Eccentric Connectivity Index
842133,CN1C(=CN=C1NCC2=C(C=CC(=C2)Cl)O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,Active,,23.36,17,30.07614,367.8413554,6,4,12,133.91,433.104063,3.51,0.06,517
842180,CC1=CC=CC=C1C2=NC3=C(O2)C=CC(=C3)N,Inactive,,,15,15.694484,193.2594036,2,1,3,52.05,224.094963,2.78,0.034482759,259
842310,CC(C)(C)C1=CC=C(C=C1)CN2C3=C(C(=O)NC(=N3)C4CCCN(C4)C(=O)CC5=CC=CS5)N=N2,Active,,46.64,20,42.93221,439.4752172,5,1,9,125.01,490.2150952,3.766,0.169230769,1053
842501,CC1=NON=C1NC(=O)CSC2=NN=C(C=C2)C3=CC=CC=C3,Active,,58.94,17,21.345691,265.5720022,4,1,6,119.1,327.0789957,2.761,0.055555556,548
842785,CN(C)C1=CC=C(C=C1)NC(=O)CN2C3CCCC2CC(C3)NC(=O)C4=CC(=CC=C4)OC,Active,,24.4,12,46.281038,436.2922755,6,2,10,73.91,450.2630909,3.623,0.179104478,1012
843005,CNC1=CC=CC=CC1=S,Inactive,,,7,11.638863,153.5278265,1,1,2,44.12,151.0455703,1.816,0.052631579,77
843584,CCC1=C2C(=CC=C1)C(=O)C(=CN2)C(=O)N3CCOCC3,Active,,22.87,10,26.149726,269.8682849,3,1,3,62.4,286.1317424,2.989,0.153846154,377
844237,C1C(C(=O)C2=CC=CC=C21)SC3=NN=C(O3)C4=CC=NC=C4,Active,>,100,17,19.819277,248.5180077,4,0,3,94.18,309.0571976,3.204,0.060606061,466
844552,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O,Active,,95.03,21,28.33614,341.4916518,2,2,9,88.08,388.1423071,4.25,0.06122449,766
844714,CC(C)(C)N1C(=NN=N1)C(C2=CC3=CC(=C(C=C3NC2=O)OC)OC)N4CCC5=CC=CC=C54,Active,>,100,21,40.019796,412.4604352,4,1,11,98.16,460.2222888,4.691,0.14516129,756
844802,CC1=CC2=C(C=C1C)N=C(N2)C3CCN(CC3)CC4COC5=CC=CC=C5O4,Active,,28.75,15,37.308589,343.9973347,2,1,5,50.38,377.2103271,3.687,0.181818182,790
